sec6-res-util-lego-c6m2,,1450,,lego,,6,,584,,612,,36,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1452,,lego,,6,,583,,611,,37,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1454,,lego,,6,,584,,624,,50,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1456,,lego,,6,,584,,634,,59,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1459,,lego,,6,,587,,640,,66,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1461,,lego,,6,,586,,642,,68,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1464,,lego,,6,,586,,645,,71,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1467,,lego,,6,,584,,648,,75,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1470,,lego,,6,,585,,1073,,577,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1488,,lego,,6,,589,,1045,,579,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1507,,lego,,6,,588,,1054,,574,,1.0,,[[0 0 1 4]
 [2 2 2 2]]
sec6-res-util-lego-c6m2,,1525,,lego,,6,,589,,1045,,580,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1544,,lego,,6,,587,,1049,,571,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1562,,lego,,6,,586,,1006,,488,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1577,,lego,,6,,585,,1043,,486,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1593,,lego,,6,,585,,1047,,582,,1.0,,[[0 0 1 6]
 [2 2 2 2]]
