FrameID	EngineID	StartTime	CompressedTime	RecvTime	DoneTime	Status
1	Lego	1541131479030	1541131479060	1541131479096	1541131479106	success
2	Lego	1541131479330	1541131479370	1541131479419	1541131479419	nothing
3	Lego	1541131479420	1541131479465	1541131479553	1541131479553	nothing
4	Lego	1541131479553	1541131479603	1541131479735	1541131479736	nothing
5	Lego	1541131479736	1541131479780	1541131479823	1541131479823	nothing
6	Lego	1541131479824	1541131479850	1541131479884	1541131479884	nothing
7	Lego	1541131479884	1541131479906	1541131479945	1541131479945	nothing
8	Lego	1541131479946	1541131479968	1541131480014	1541131480017	nothing
9	Lego	1541131480017	1541131480052	1541131480093	1541131480093	nothing
10	Lego	1541131480093	1541131480132	1541131480183	1541131480183	nothing
11	Lego	1541131480184	1541131480232	1541131480313	1541131480316	nothing
12	Lego	1541131480317	1541131480349	1541131480472	1541131480472	nothing
13	Lego	1541131480472	1541131480510	1541131480688	1541131480688	nothing
14	Lego	1541131480688	1541131480726	1541131481000	1541131481000	nothing
15	Lego	1541131481000	1541131481027	1541131481286	1541131481286	nothing
16	Lego	1541131481287	1541131481330	1541131481544	1541131481544	nothing
17	Lego	1541131481544	1541131481569	1541131481730	1541131481730	nothing
18	Lego	1541131481730	1541131481759	1541131481871	1541131481871	nothing
19	Lego	1541131481871	1541131481898	1541131481972	1541131481972	nothing
20	Lego	1541131481972	1541131482007	1541131482080	1541131482080	nothing
21	Lego	1541131482081	1541131482106	1541131482222	1541131482222	nothing
22	Lego	1541131482222	1541131482252	1541131482392	1541131482392	nothing
23	Lego	1541131482392	1541131482421	1541131482566	1541131482566	nothing
24	Lego	1541131482566	1541131482596	1541131482731	1541131482731	nothing
25	Lego	1541131482732	1541131482763	1541131482880	1541131482880	nothing
26	Lego	1541131482882	1541131482912	1541131483009	1541131483009	nothing
27	Lego	1541131483009	1541131483055	1541131483180	1541131483180	nothing
28	Lego	1541131483181	1541131483213	1541131483303	1541131483303	nothing
29	Lego	1541131483304	1541131483349	1541131483446	1541131483447	nothing
30	Lego	1541131483447	1541131483479	1541131483633	1541131483633	nothing
31	Lego	1541131483634	1541131483673	1541131483870	1541131483870	nothing
32	Lego	1541131483871	1541131483908	1541131484057	1541131484057	nothing
33	Lego	1541131484058	1541131484094	1541131484272	1541131484272	nothing
34	Lego	1541131484273	1541131484342	1541131484583	1541131484583	nothing
35	Lego	1541131484584	1541131484631	1541131484800	1541131484800	nothing
36	Lego	1541131484800	1541131484845	1541131485061	1541131485061	nothing
37	Lego	1541131485061	1541131485101	1541131485290	1541131485290	nothing
38	Lego	1541131485290	1541131485334	1541131485607	1541131485607	nothing
39	Lego	1541131485607	1541131485634	1541131485861	1541131485862	nothing
40	Lego	1541131485862	1541131485909	1541131486138	1541131486138	nothing
41	Lego	1541131486138	1541131486166	1541131486366	1541131486366	nothing
42	Lego	1541131486366	1541131486409	1541131486647	1541131486647	nothing
43	Lego	1541131486648	1541131486679	1541131486887	1541131486887	nothing
44	Lego	1541131486888	1541131486932	1541131487246	1541131487246	nothing
45	Lego	1541131487247	1541131487279	1541131487553	1541131487553	nothing
46	Lego	1541131487553	1541131487594	1541131487861	1541131487861	nothing
47	Lego	1541131487862	1541131487900	1541131488089	1541131488089	nothing
48	Lego	1541131488090	1541131488135	1541131488365	1541131488365	nothing
49	Lego	1541131488366	1541131488397	1541131488680	1541131488680	nothing
50	Lego	1541131488680	1541131488723	1541131488976	1541131488976	nothing
51	Lego	1541131488977	1541131489037	1541131489396	1541131489396	nothing
52	Lego	1541131489398	1541131489439	1541131489703	1541131489703	nothing
53	Lego	1541131489703	1541131489735	1541131490012	1541131490012	nothing
54	Lego	1541131490013	1541131490053	1541131490420	1541131490420	nothing
55	Lego	1541131490420	1541131490445	1541131490727	1541131490727	nothing
56	Lego	1541131490727	1541131490756	1541131490973	1541131490973	nothing
57	Lego	1541131490974	1541131491019	1541131491235	1541131491235	nothing
58	Lego	1541131491236	1541131491277	1541131491546	1541131491546	nothing
59	Lego	1541131491546	1541131491587	1541131491821	1541131491821	nothing
60	Lego	1541131491822	1541131491862	1541131492162	1541131492162	nothing
61	Lego	1541131492162	1541131492203	1541131492441	1541131492441	nothing
62	Lego	1541131492442	1541131492485	1541131492750	1541131492750	nothing
63	Lego	1541131492751	1541131492793	1541131493010	1541131493010	nothing
64	Lego	1541131493011	1541131493052	1541131493392	1541131493392	nothing
65	Lego	1541131493392	1541131493424	1541131493697	1541131493697	nothing
66	Lego	1541131493697	1541131493751	1541131493984	1541131493984	nothing
