1	1541131479.254633	1541131479.257219	-1.000000	1541131479.267184	1541131479.268982	1541131479.269969	1541131479.271761
2	1541131479.570467	1541131479.571500	-1.000000	1541131479.602591	1541131479.603112	1541131479.603412	1541131479.603945
3	1541131479.663376	1541131479.664419	-1.000000	1541131479.735746	1541131479.736221	1541131479.736567	1541131479.737153
4	1541131479.804830	1541131479.805829	-1.000000	1541131479.916655	1541131479.917155	1541131479.917452	1541131479.917907
5	1541131479.975125	1541131479.976023	-1.000000	1541131480.007633	1541131480.007976	1541131480.008228	1541131480.008609
6	1541131480.047561	1541131480.048324	-1.000000	1541131480.067866	1541131480.068251	1541131480.068501	1541131480.068910
7	1541131480.105966	1541131480.106750	-1.000000	1541131480.128490	1541131480.128840	1541131480.129100	1541131480.129527
8	1541131480.170743	1541131480.171615	-1.000000	1541131480.197292	1541131480.197753	1541131480.197974	1541131480.198402
9	1541131480.246950	1541131480.247751	-1.000000	1541131480.277288	1541131480.277633	1541131480.277857	1541131480.278231
10	1541131480.326893	1541131480.327707	-1.000000	1541131480.365781	1541131480.366107	1541131480.366322	1541131480.366755
11	1541131480.431580	1541131480.432409	-1.000000	1541131480.496433	1541131480.496807	1541131480.497022	1541131480.497424
12	1541131480.550853	1541131480.551789	-1.000000	1541131480.656152	1541131480.656476	1541131480.656707	1541131480.657070
13	1541131480.723985	1541131480.724947	-1.000000	1541131480.869893	1541131480.870237	1541131480.870433	1541131480.870782
14	1541131480.926124	1541131480.926946	-1.000000	1541131481.094225	1541131481.094553	1541131481.094797	1541131481.095218
15	1541131481.232340	1541131481.233334	-1.000000	1541131481.415873	1541131481.416173	1541131481.416454	1541131481.416926
16	1541131481.540297	1541131481.541394	-1.000000	1541131481.728333	1541131481.728704	1541131481.729002	1541131481.729476
17	1541131481.776778	1541131481.777665	-1.000000	1541131481.912614	1541131481.912988	1541131481.913282	1541131481.913750
18	1541131481.963125	1541131481.964016	-1.000000	1541131482.054261	1541131482.054656	1541131482.054949	1541131482.055428
19	1541131482.102441	1541131482.103363	-1.000000	1541131482.155319	1541131482.155759	1541131482.156112	1541131482.156610
20	1541131482.207016	1541131482.207918	-1.000000	1541131482.262617	1541131482.263057	1541131482.263344	1541131482.263821
21	1541131482.306687	1541131482.307679	-1.000000	1541131482.405792	1541131482.406199	1541131482.406502	1541131482.406984
22	1541131482.456484	1541131482.457265	-1.000000	1541131482.574037	1541131482.574453	1541131482.574740	1541131482.575212
23	1541131482.623819	1541131482.624529	-1.000000	1541131482.746051	1541131482.746440	1541131482.746741	1541131482.747252
24	1541131482.793537	1541131482.794325	-1.000000	1541131482.914683	1541131482.915061	1541131482.915347	1541131482.915820
25	1541131482.960944	1541131482.961959	-1.000000	1541131483.063806	1541131483.064159	1541131483.064454	1541131483.064926
26	1541131483.114810	1541131483.115841	-1.000000	1541131483.192445	1541131483.192848	1541131483.193147	1541131483.193648
27	1541131483.264558	1541131483.265479	-1.000000	1541131483.364460	1541131483.364839	1541131483.365134	1541131483.365610
28	1541131483.421363	1541131483.422133	-1.000000	1541131483.487165	1541131483.487524	1541131483.487826	1541131483.488335
29	1541131483.553375	1541131483.554338	-1.000000	1541131483.628054	1541131483.628433	1541131483.628770	1541131483.629275
30	1541131483.679387	1541131483.680335	-1.000000	1541131483.816442	1541131483.816796	1541131483.817060	1541131483.817531
31	1541131483.878697	1541131483.880052	-1.000000	1541131484.052555	1541131484.052914	1541131484.053170	1541131484.053654
32	1541131484.115913	1541131484.117122	-1.000000	1541131484.240574	1541131484.240961	1541131484.241245	1541131484.241697
